dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,0.56,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,4.669427353638992,,1.0,0.9045980873724007,0.5480888595060837,49.20882186753601,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.03,0.6521367557919459,0.3540393232356423,37.59591060616392,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.06,0.6499023349301594,0.35316575634019687,37.55113860644968,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.1,0.6460693924882965,0.3510650613812025,37.54704988476097,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.18,0.6545943410008628,0.3346081089231737,38.28814317843565,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.32,0.6090772008480436,0.2130960124715898,37.17798712964404,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.56,0.7369520256270417,0.32759641002289674,41.427230968048185,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,1.0,0.7683078218356854,0.2989660309128017,43.47163408721602,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.03,0.6446179553076413,0.2309027764873196,38.88259806300444,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.06,0.6585819575456575,0.22956644069176615,39.526668955338764,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.1,0.6945346833158299,0.25175621591352504,40.43168020462712,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.18,0.6788948774229946,0.17210444216818452,40.93781866525275,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.32,0.7383739191847745,0.17665486705374397,42.67573177293668,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.56,0.6814744900024476,0.42312671932818285,39.05571372128192,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,1.0,0.6670594883105719,0.3805464467289425,38.85061058262177,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.03,0.7993765883843705,0.3289189545991471,44.88632450476324,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.06,0.8882927512249594,0.30750123063480916,48.35400768052854,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.1,0.8307183799626605,0.2745727613291191,45.714992022033904,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.18,0.8133603361475764,0.21680897528497955,45.70562410356645,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.32,0.7784002419216485,0.35067738937806575,45.186706587609464,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.56,0.7826247534848071,0.3310632391950695,43.98495766450323,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,1.0,0.8471700508930777,0.33736340955801325,45.91488330424751,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.03,0.9584095216839499,0.48464350859324784,50.75759974978698,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.06,0.9584735546877919,0.48468593899370754,50.7592445217653,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.1,0.9586255286019292,0.4847864937223104,50.763145950152605,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.18,0.9591595426820243,0.48513804210840594,50.77683113673677,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.32,0.960848510225734,0.48622718313681024,50.81990128688351,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,0.56,0.9660723990488685,0.4892186293566188,50.95216670771096,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,101.81010123235768,,1.0,1.0041188852393739,0.4963488760177754,51.556598932926065,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,220.0,,0.03,0.9478907661027176,0.483097893671262,50.4280242443704,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,220.0,,0.06,0.9478907661019107,0.48309789367461103,50.42802424443925,10
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,GP/KRR,GP/KRR uniform line field,uniform,220.0,,0.1,0.9478907661017386,0.4830978936753255,50.428024244453944,10
